Random waveform, supplied seed
Total number of intervals = 180 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036)
Average QPS expected = 56542
Timestamp start: 1778011460580
Timestamp end: 1778013260908

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      274.3   149.0    86.8   134.7   148.1   249.5   304.6   333.3   353.4   377.2   410.3   478.8   734.0  1697.5  3145.8  70050.4    70041
read      298.4   215.3    86.8   139.3   153.7   256.4   312.7   344.1   368.3   398.9   448.8   565.0  1112.5  2473.7  5540.3  89981.5    90162
read      278.2   126.3    86.8   138.0   151.9   264.4   313.8   338.9   357.2   378.6   407.8   467.6   639.1  1297.4  2736.2  52190.3    52082
read      314.7   178.1    93.8   156.0   176.9   289.0   332.4   357.4   376.2   402.2   444.0   532.1   959.6  2012.1  3764.9  24275.1    24258
read      398.7   549.2    86.8   138.7   153.9   274.8   336.3   372.8   404.0   456.7   556.1  1023.3  3090.1  5971.8  8082.8  72126.7    72013
read      274.3   133.9    86.8   136.1   149.6   257.5   309.2   335.2   353.3   374.2   403.4   463.5   662.2  1435.8  2978.2  58048.1    58012
read      305.0   179.9    86.8   141.6   157.3   279.9   331.5   360.6   383.0   412.5   459.6   544.8   860.8  2046.5  4618.6  45244.9    45398
read      347.0   244.1    93.8   143.9   161.3   296.2   361.6   403.3   440.6   490.1   562.3   694.3  1271.9  2750.2  4967.5  50229.4    50177
read      309.1   150.8    93.8   146.1   164.0   289.7   340.1   368.9   390.9   419.0   460.8   534.5   749.4  1620.4  3385.1  34495.3    34504
read      429.1   547.7    80.4   141.1   157.6   293.5   369.5   425.7   475.8   543.2   658.2  1210.0  3009.2  6198.8  8084.7  65915.1    66010
read      334.1   283.6    80.4   140.5   155.5   272.0   335.9   374.7   408.5   460.8   545.1   711.2  1442.4  3292.7  7703.2  73939.4    73937
read      275.3   131.9    86.8   136.6   150.2   259.6   310.9   336.6   354.7   375.7   404.9   465.1   639.0  1458.7  3452.0  55048.7    55020
read      303.8   179.5    86.8   137.1   151.6   275.8   334.8   369.1   396.1   431.5   480.9   558.3   812.5  1858.3  4687.7  53349.4    53235
read      377.6   416.1    86.8   142.8   159.7   278.7   342.2   383.5   419.3   473.2   578.8   972.0  2233.9  4172.4  8030.7  97550.1    97743
read      255.5   120.3   109.4   173.6   188.8   244.7   266.5   278.8   289.0   300.5   317.7   345.0   448.9  1494.6  4055.7   5422.7     5419
read      291.8   148.2    93.8   162.9   185.9   276.5   311.8   332.0   345.9   365.5   391.2   435.4   667.6  1665.1  3728.4  14745.2    14764
read      276.9   160.8    86.8   171.4   190.1   261.5   288.6   304.3   315.9   330.8   349.4   390.1   667.5  1610.2  7491.6   7479.8     7451
read      330.9   201.6    86.8   138.6   154.4   293.7   362.4   404.6   440.5   483.9   540.3   630.2   949.6  2124.2  4781.3  48222.2    48208
read      297.5   162.0    93.8   167.9   189.7   282.9   316.8   336.3   350.0   368.2   393.7   441.6   628.6  1945.6  7232.9  16174.0    16149
read      590.8   863.4    86.8   149.1   169.8   316.2   396.2   460.8   524.5   641.4  1489.9  2687.5  4272.4  7765.4  8537.7  78921.1    78989
read      284.5   116.1    93.8   165.0   185.9   276.0   307.6   324.7   337.6   352.7   373.1   409.8   538.2  1504.4  3017.3  18795.1    18886
read      316.3   273.6    80.4   138.5   152.6   261.7   322.0   357.4   385.3   424.7   493.9   641.8  1315.8  3426.9  7618.2  75941.7    75954
