Random waveform, supplied seed
Total number of intervals = 360 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412, 65030, 79278, 47544, 105368, 58181, 56960, 14849, 63672, 48289, 11797, 10781, 49362, 102119, 46213, 97025, 18351, 21426, 43013, 67376, 36043, 6255, 102499, 26263, 56974, 40869, 46514, 11431, 58600, 68058, 54502, 64022, 52142, 101375, 40606, 47485, 48977, 38615, 80279, 75843, 67095, 41325, 55752, 85561, 14194, 88002, 90515, 109283, 26699, 37400, 19307, 11527, 83787, 22209, 75169, 73833, 94641, 61338, 91825, 77235, 37257, 32057, 108618, 72930, 43714, 87369, 56640, 97360, 79788, 11352, 87962, 40663, 59386, 48302, 19398, 82197, 77387, 72753, 7720, 46279, 42102, 90892, 39976, 61084, 16735, 45909, 28976, 84704, 101822, 92571, 12106, 58568, 51319, 21556, 14191, 29072, 16350, 86891, 104441, 8906, 42175, 51797, 76678, 19630, 100132, 40498, 108559, 23964, 70760, 99567, 107548, 53742, 103931, 60359, 9725, 52014, 40053, 86436, 23983, 66595, 26056, 51764, 40202, 76665, 11133, 80405, 79106, 97258, 36307, 28636, 41620, 75736, 44979, 31478, 37586, 108330)
Average QPS expected = 57436
Timestamp start: 1778009191142
Timestamp end: 1778010991528

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      276.2   147.0    86.8   133.1   146.6   252.8   308.7   337.2   357.6   382.1   417.5   487.8   739.8  1542.4  3717.0  70276.4    70041
read      313.0   237.8    86.8   140.7   156.3   268.2   326.4   359.2   384.1   417.3   470.7   593.7  1263.0  2808.2  6929.8  90186.6    90162
read      273.9   115.5    86.8   136.5   150.4   264.4   314.6   339.3   356.7   376.1   402.6   452.2   574.4   883.9  2825.6  52032.4    52082
read      282.9   104.7    86.8   156.3   175.8   278.5   312.3   330.6   343.1   359.5   379.9   418.1   521.2  1219.4  2524.3  24184.4    24258
read      357.1   350.5    86.8   135.2   150.4   278.5   350.8   402.1   448.9   507.4   590.3   785.0  1766.3  3889.4  8092.2  71949.0    72013
read      321.8   205.0    86.8   135.2   150.0   281.8   346.4   387.6   421.1   465.3   525.9   630.8  1083.7  2121.6  4233.8  58061.6    58012
read      308.0   171.4    86.8   136.8   152.1   283.1   339.4   371.4   396.4   429.4   474.3   552.8   855.1  1926.8  3325.1  45376.8    45398
read      315.1   222.1    86.8   136.4   151.4   283.9   344.5   380.7   408.7   446.6   496.6   580.4   885.2  2260.7  8263.8  50043.0    50177
read      298.5   160.7    86.8   142.1   158.9   282.8   331.2   357.7   376.4   400.3   434.5   496.8   716.6  1597.3  4065.3  34460.6    34504
read      345.8   305.0    86.8   134.8   149.6   279.4   349.3   396.8   438.5   493.5   569.3   734.9  1562.8  3572.5  7650.0  66044.8    66010
read      343.6   326.7    80.4   135.2   150.5   272.6   338.3   379.4   416.2   470.2   556.8   745.3  1748.4  3589.4  7832.1  73912.4    73937
read      280.2   126.2    86.8   137.4   151.7   267.0   318.9   344.8   363.3   385.0   414.8   471.1   631.4  1184.2  2252.8  54986.2    55020
read      279.3   126.8    86.8   136.5   150.9   266.7   317.6   342.9   361.1   382.2   411.4   468.3   624.9  1363.2  2778.9  53364.2    53235
read      352.3   321.9    86.8   146.8   164.7   289.0   352.1   391.1   423.4   468.0   539.9   691.7  1729.4  3666.4  7831.7  97558.2    97743
read      260.9   119.1   101.3   174.1   190.0   249.8   272.8   287.3   296.9   310.9   328.5   362.2   492.2  1328.6  5393.2   5424.6     5419
read      277.5   107.1    93.8   170.9   192.3   271.9   299.1   314.4   325.2   338.7   356.5   387.3   478.1  1190.1  4017.8  14714.2    14764
read      262.7   112.6    93.8   173.9   190.3   252.1   274.9   289.4   299.2   312.7   329.9   360.0   498.5  1326.9  4492.7   7457.6     7451
read      314.7   179.2    80.4   137.0   152.3   285.1   344.8   381.3   409.6   447.8   498.4   583.1   907.4  1921.0  3434.0  48142.2    48208
read      289.6   122.2    93.8   164.7   187.5   277.2   310.1   328.1   341.3   358.8   382.8   430.4   631.6  1461.4  4049.3  16148.0    16149
read      366.6   368.9    86.8   141.8   158.5   283.9   349.0   392.2   430.9   492.1   594.1   812.8  2059.4  4112.1  7870.4  78615.2    78989
read      274.7   103.8   101.3   160.4   180.8   268.0   296.8   313.5   325.2   340.2   361.4   398.8   528.9  1018.0  2545.1  18872.8    18886
read      279.6   157.0    86.8   134.2   148.2   252.7   308.5   337.3   358.4   384.2   421.6   500.5   795.9  1787.3  3125.8  75998.6    75954
read      281.6   137.2    86.8   139.9   154.8   271.5   315.8   338.3   354.4   372.9   400.4   457.7   638.5  1480.9  3307.1  44522.4    44409
read      279.6   132.9    93.8   162.6   185.0   267.0   295.2   312.1   324.0   340.2   363.9   413.0   633.1  1380.9  4358.8  16473.4    16431
read      410.7   434.6    86.8   145.4   163.9   299.0   373.9   431.1   486.1   567.1   700.1  1029.0  2434.5  4189.5  8040.7  85786.0    85707
read      285.6   147.9    86.8   136.8   151.1   266.5   318.4   344.6   364.1   387.6   422.1   499.2   748.8  1680.0  3166.2  58271.4    58253
read      423.1   402.1    86.8   157.5   180.1   330.6   413.6   471.7   521.5   587.0   688.2   920.6  2205.8  4331.8  8103.5 103940.2   103867
read      277.3    99.0    93.8   155.8   176.2   271.0   301.3   317.9   331.1   345.5   368.2   408.4   545.8  1037.4  3170.7  21700.0    21604
read      319.0   271.0    86.8   140.7   156.4   269.7   327.6   361.3   387.8   424.1   484.0   619.3  1273.4  3357.4  7806.4  90632.8    90401
read      313.8   266.3    86.8   139.0   154.1   265.7   323.5   356.3   381.5   416.4   475.0   615.1  1260.7  3407.2  7908.8  84457.4    84467
read      357.4   278.7    86.8   152.6   172.0   298.7   362.7   402.5   437.2   485.4   557.0   718.2  1538.3  3082.3  7481.6  99678.6    99700
read      277.8   102.5    93.8   148.6   165.2   275.6   312.0   331.0   343.8   360.6   381.6   419.6   520.4   763.3  3361.5  31998.8    32052
read      274.3   104.6    93.8   161.1   182.1   268.8   296.9   313.4   324.8   339.5   359.3   393.2   497.8  1142.7  3990.8  18144.6    18173
read      322.0   201.5    86.8   137.9   152.7   278.1   341.2   382.4   420.0   471.8   541.4   652.6  1031.8  1996.0  3154.0  67708.4    67789
read      312.1   170.3    86.8   139.9   155.6   286.6   342.9   376.2   403.1   440.5   491.7   575.4   829.3  1777.6  4184.0  51930.0    51929
read      438.4   420.8    93.8   153.2   173.9   319.3   399.9   464.5   529.6   629.3   808.6  1185.6  2232.2  3882.6  7948.5  83719.0    83850
read      282.2   128.6   101.3   162.6   184.3   271.3   300.3   316.6   329.3   343.9   367.0   413.4   608.9  1684.4  4379.7  18651.0    18614
read      284.7   122.9    86.8   150.9   168.5   278.7   314.5   333.8   346.7   365.5   390.2   436.2   583.9  1056.2  4096.0  29401.2    29315
read      602.9   631.7    93.8   208.4   241.6   425.5   528.8   598.6   663.9   770.6  1058.8  1759.5  3513.8  7091.9  8105.9 108294.4   108090
read      281.2   114.7    86.8   152.0   170.0   275.2   310.2   329.0   342.2   359.5   382.5   427.7   559.8  1179.6  3747.2  27141.6    27024
read      290.6   139.5    86.8   138.9   153.7   274.5   324.1   350.4   370.1   395.3   433.1   506.9   720.7  1432.2  2484.4  49710.8    49907
read      262.0   102.7    86.8   171.7   189.7   253.1   276.1   289.9   299.3   312.9   330.3   360.7   479.1  1280.0  3916.0   9220.8     9150
read      311.8   164.6    86.8   145.5   163.8   295.2   344.5   372.8   394.6   422.7   462.4   527.5   717.8  1681.4  5121.1  34210.2    34328
read      353.8   236.8    86.8   143.6   161.4   305.6   376.9   424.6   462.5   508.2   573.9   690.7  1278.0  2290.3  5933.7  51762.0    51881
read      278.9   107.0    93.8   172.3   193.5   271.7   298.8   314.5   325.7   339.7   358.9   391.5   502.3  1281.1  4053.5  14600.8    14569
read      330.9   270.3    86.8   140.8   156.5   272.7   334.6   371.8   402.9   451.5   531.1   703.5  1390.0  3066.8  7366.5  81556.8    81517
read      289.0   190.4    86.8   136.8   150.8   256.6   313.2   343.3   365.7   393.0   433.0   524.8   896.4  2289.9  4304.3  78572.8    78694
read      322.4   224.2    86.8   146.5   163.2   278.4   337.1   370.7   397.2   432.8   489.6   617.4  1234.8  2499.1  4523.7  93126.4    93409
read      281.3   115.5    93.8   144.4   160.3   276.3   318.4   340.3   355.9   373.0   398.3   441.7   555.5  1049.1  3267.7  39175.4    39093
read      278.8    81.5   101.3   164.3   185.7   274.8   304.8   320.5   333.1   345.8   366.6   398.5   492.4   872.5  1928.7  18865.2    18729
read      337.9   229.2    86.8   140.5   156.6   285.2   352.9   398.9   442.6   499.4   577.3   706.3  1184.3  2269.3  5112.1  70892.4    70818
read      291.7   123.0    93.8   160.3   180.2   285.2   320.8   340.1   354.0   370.3   393.7   432.8   542.9  1350.3  4903.5  21937.8    21942
