#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      259.4   102.7    93.8   163.3   177.9   248.1   279.3   296.7   310.6   326.5   348.4   387.4   471.6   767.1  3832.1  30324.7    30285  1778294879241  1778294889346
read      258.6    96.6    93.8   161.7   176.0   246.6   278.7   296.7   311.1   327.9   350.8   390.8   474.9   787.9  3938.9  30320.2    30290  1778294890858  1778294900958
read      255.7   102.7    86.8   160.5   174.8   243.8   275.1   293.3   307.0   322.5   345.0   383.5   466.1   820.6  4112.2  30253.8    30295  1778294902471  1778294912576
read      255.8    90.0    86.8   161.3   175.8   245.1   276.0   293.8   307.3   322.4   344.3   381.7   462.3   659.8  3294.0  30282.7    30300  1778294914090  1778294924196
read      261.9   104.4    93.8   163.9   178.6   249.9   282.2   300.4   314.1   331.1   353.9   392.6   475.5  1070.9  4167.7  30279.1    30305  1778294925708  1778294935818
read      258.2    94.7    93.8   162.8   177.1   247.0   278.3   295.9   309.8   325.8   347.9   387.3   467.3   718.8  3932.8  30301.2    30310  1778294937331  1778294947441
read      256.5    93.2    93.8   160.0   174.4   244.9   277.0   295.2   309.4   325.7   348.0   387.7   470.0   721.3  3367.4  30294.2    30315  1778294948953  1778294959057
read      258.9   106.4    93.8   161.7   176.4   246.9   278.7   296.6   310.7   327.0   349.2   389.2   471.0  1016.4  4085.0  30343.4    30320  1778294960571  1778294970679
read      264.0    99.5    93.8   163.2   178.6   252.4   285.3   303.8   317.5   335.6   359.8   398.5   481.7   734.8  4084.6  30319.6    30325  1778294972192  1778294982293
read      265.2   390.6    93.8   163.1   178.0   251.2   284.5   303.1   316.8   334.7   358.6   396.9   477.4   878.4  3955.7  30305.4    30330  1778294983806  1778294993908
read      262.5   103.7    93.8   161.2   176.3   250.0   283.3   302.2   316.5   334.9   359.3   398.2   487.0  1004.0  3810.0  30336.7    30335  1778294995420  1778295005534
read      261.8   103.4    93.8   161.7   176.5   249.9   283.2   301.8   315.9   333.7   357.7   397.4   482.8   728.8  4164.5  30432.9    30340  1778295007049  1778295017157
read      263.4   108.4    93.8   162.6   177.4   250.9   284.4   303.4   317.4   335.8   360.2   399.1   489.2   833.2  4186.9  30336.6    30345  1778295018671  1778295028778
read      253.1    95.1    93.8   160.2   174.3   242.1   272.9   290.7   303.6   318.7   340.6   375.7   461.0   736.5  4230.2  30286.1    30350  1778295030291  1778295040400
read      253.0   110.7    93.8   159.4   173.7   241.6   272.5   290.3   303.2   318.5   341.0   377.7   462.2   707.7  3862.7  30385.6    30355  1778295041916  1778295052029
read      264.5    97.7    93.8   165.0   180.2   252.6   285.4   303.8   317.5   335.5   359.4   397.6   480.5   827.1  3750.7  30276.0    30360  1778295053545  1778295063649
read      254.8    90.5    93.8   161.5   175.5   243.7   274.4   292.4   305.6   320.3   342.9   380.2   466.4   715.6  3346.7  30341.3    30365  1778295065163  1778295075276
read      256.5    97.9    93.8   158.5   173.7   245.1   276.8   295.0   309.1   325.4   347.6   386.3   471.5   883.9  3686.5  30298.9    30370  1778295076790  1778295086904
read      258.6   109.4    93.8   158.7   173.9   246.3   278.7   296.9   311.3   328.1   350.9   391.0   483.5  1088.6  4219.9  30350.0    30375  1778295088419  1778295098527
read      258.8   103.9    93.8   160.7   175.3   247.0   279.5   297.2   311.4   327.7   349.5   388.3   475.4  1039.9  4235.4  30457.6    30380  1778295100042  1778295110148
read      264.0   106.0   101.3   162.7   177.6   251.6   284.5   303.2   317.0   335.1   359.3   399.4   497.6   966.8  4237.1  30396.9    30385  1778295111664  1778295121770
read      259.6   100.5    93.8   161.4   176.1   248.0   280.1   298.0   312.3   329.2   352.2   391.4   480.2   788.9  4012.1  30366.1    30390  1778295123285  1778295133390
read      265.3    99.9    93.8   162.8   178.1   253.0   286.7   305.9   319.6   338.6   363.7   403.0   497.2   854.3  3407.4  30223.6    30395  1778295134904  1778295145012
read      262.9   101.6    93.8   160.0   175.5   251.0   284.9   303.9   317.8   336.2   360.7   399.6   489.8   897.3  3889.2  30418.5    30400  1778295146526  1778295156640
read      260.5   103.5    93.8   160.9   175.4   248.6   281.5   299.7   314.0   331.5   355.1   394.3   480.4  1018.6  3656.7  30405.9    30405  1778295158154  1778295168261
read      256.8   103.5    93.8   160.4   175.1   245.6   276.6   294.4   308.1   323.3   345.4   384.3   470.1   791.4  4167.4  30412.9    30410  1778295169776  1778295179882
read      253.0    87.8    93.8   157.5   172.5   242.0   273.3   291.4   304.7   319.9   342.2   378.7   465.3   804.1  3023.3  30470.9    30415  1778295181394  1778295191502
read      258.7   105.8    93.8   161.2   175.7   247.1   279.3   297.0   311.1   327.4   349.7   389.6   476.2   772.0  3429.1  30385.0    30420  1778295193017  1778295203126
read      258.5   118.2    93.8   160.9   175.4   246.3   277.9   295.9   310.0   326.2   347.8   386.6   471.0  1143.9  4282.3  30414.7    30425  1778295204642  1778295214752
read      255.4    96.2    93.8   159.3   173.8   244.0   275.3   293.6   307.3   322.7   344.9   382.9   468.5   812.5  3577.4  30449.1    30430  1778295216267  1778295226372
read      255.1    94.5    93.8   160.7   174.9   244.2   275.0   293.1   306.6   321.3   343.6   380.4   464.8   706.6  3292.4  30368.2    30435  1778295227885  1778295237990
read      253.4    98.6    93.8   159.1   173.7   242.5   273.5   291.4   304.5   319.5   341.5   376.4   458.7   696.7  4084.5  30407.4    30440  1778295239506  1778295249615
read      253.5   101.5    93.8   158.6   173.6   242.7   273.4   291.2   304.3   319.5   341.4   376.1   461.9   711.4  4235.3  30467.7    30445  1778295251129  1778295261234
read      249.8   101.0    86.8   155.6   170.2   238.9   269.9   287.3   299.4   315.1   336.3   370.3   454.2  1036.7  3387.1  30400.9    30450  1778295262749  1778295272853
read      251.5    86.5    93.8   156.7   171.6   241.0   272.2   290.1   303.0   318.2   339.8   373.8   459.0   744.8  2588.7  30441.6    30455  1778295274367  1778295284472
read      257.2    97.9    93.8   160.5   175.1   246.0   277.7   295.8   309.8   325.6   347.0   385.5   468.8   770.6  3752.1  30385.6    30460  1778295285985  1778295296087
read      250.8    97.1    93.8   156.9   171.2   238.5   269.8   287.8   300.7   316.7   339.1   375.7   467.7   930.2  3900.0  30553.0    30465  1778295297602  1778295307706
read      255.9    86.9    86.8   160.8   175.3   245.6   276.9   294.9   308.6   323.9   345.1   381.1   461.6   676.2  3098.0  30482.1    30470  1778295309219  1778295319324
read      253.8   108.0    93.8   160.5   174.5   241.6   272.4   290.2   303.0   318.2   339.9   373.7   462.9  1326.4  4254.0  30440.0    30475  1778295320839  1778295330949
read      253.2   104.0    86.8   159.4   173.7   241.4   272.4   290.4   303.5   318.6   340.7   376.3   467.0   814.2  4167.2  30478.5    30480  1778295332464  1778295342572
read      255.5    94.7    93.8   160.5   174.5   244.0   275.1   293.4   307.2   322.8   345.5   384.3   472.2   779.8  3017.7  30478.4    30485  1778295344087  1778295354194
read      253.9    96.7    93.8   160.7   174.8   243.0   273.6   291.1   303.9   318.7   340.2   374.2   462.0   797.8  4127.5  30425.0    30490  1778295355707  1778295365814
read      254.9    97.1    93.8   159.7   174.1   243.9   274.8   293.2   306.9   322.3   344.5   380.5   462.5   784.0  3223.8  30523.1    30495  1778295367328  1778295377436
read      251.8   112.4    93.8   157.0   171.6   240.0   271.0   289.0   302.0   317.7   339.6   373.7   458.3  1001.9  4314.6  30541.1    30500  1778295378949  1778295389074
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.33%,0.00%,100.00%
