Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777996494522
Timestamp end: 1777998294839

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      315.5   334.5    80.4   134.6   148.7   254.4   313.5   345.9   371.6   403.8   459.5   618.9  1645.0  4212.0  8053.3  90409.7    90401
read      265.8   133.9    80.4   130.5   143.2   240.3   297.7   327.2   347.6   372.8   405.4   467.2   705.7  1320.9  2535.9  84447.2    84467
read      283.4   183.2    80.4   135.1   149.2   248.5   303.9   334.2   356.6   384.3   423.1   509.3   971.7  2093.5  4571.2  99716.1    99700
read      279.9   117.2    86.8   147.0   163.1   277.6   314.8   334.2   347.1   364.9   387.2   423.0   528.3  1136.4  3882.6  32088.9    32052
read      270.7    91.0    86.8   160.1   179.2   270.0   297.1   312.1   321.6   335.2   350.3   375.8   435.9   919.6  3870.4  18223.7    18173
read      281.7   143.5    80.4   130.6   143.7   258.9   317.3   349.3   374.2   404.6   447.0   518.9   690.2  1362.0  2681.9  67851.7    67789
read      275.5   125.4    80.4   132.6   146.3   266.4   317.4   343.5   363.0   385.6   414.3   460.7   581.0   982.4  2793.5  51923.0    51929
read      300.6   204.5    80.4   132.9   146.5   255.7   318.5   357.5   390.7   435.9   505.5   618.7   935.3  2057.1  6245.4  83776.1    83850
read      271.7   106.8    93.8   160.9   179.7   271.1   298.5   313.2   322.8   336.1   351.4   376.4   435.0   857.3  4755.7  18586.1    18614
read      279.0   121.7    86.8   147.9   164.2   279.3   314.4   332.8   345.1   361.4   380.6   410.8   491.4  1043.6  4271.5  29242.6    29315
