Random waveform, supplied seed
Total number of intervals = 225 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453, 44096, 100467, 8576, 59359, 7614, 60329, 43762, 67038, 26095, 71173, 109276, 13150, 61250, 84472, 82226, 27671, 98736, 106314, 105027, 96867, 89493, 50538, 22083, 48618, 94298, 63579, 64573, 77178, 29824, 64495, 20917, 85651, 61935, 50216, 72251, 71798, 19701, 24952, 81838, 26648, 24837, 29420, 103882, 70314, 61679, 49557, 19325, 9128, 94933, 24327, 71896, 93771, 20452, 42338, 72627, 80603, 49049, 92305, 56889, 78036, 71583, 72609, 107382, 86530, 16550, 84534, 72631, 49291, 62175, 80213, 16566, 53985, 101949, 24076, 52574, 106271, 105451, 86087, 29108, 101115, 74326, 75832, 94901, 15809, 28874, 51882, 32653, 41676, 63019, 99164, 47055, 62394, 98519, 32122, 49464, 24034, 77363, 91698, 38997, 86028, 83012, 15024, 56640, 97362, 107412)
Average QPS expected = 58238
Timestamp start: 1778414676370
Timestamp end: 1778416476702

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      287.6   130.8    74.4   131.4   148.0   269.2   328.0   361.9   386.7   416.4   455.0   508.7   626.8   903.2  2688.2  84586.8    84467
read      319.7   152.6    74.4   140.5   160.8   293.1   357.2   396.3   426.3   461.1   504.7   577.9   830.5  1174.9  2329.8  99624.4    99700
read      281.7   123.3    80.4   141.4   157.8   281.4   322.2   343.7   359.1   375.3   397.6   432.0   500.7   637.1  4699.0  31962.2    32052
read      266.2    81.1    86.8   153.7   173.8   263.9   292.4   309.3   321.0   336.6   354.9   382.3   445.4   586.6  2338.2  18198.9    18173
read      283.4   137.4    74.4   128.9   143.9   265.6   327.5   360.8   384.3   411.8   448.5   498.7   602.4   897.8  3990.0  68045.6    67789
read      640.9 13145.9    74.4   131.8   147.9   279.7   337.8   368.3   390.3   416.4   450.7   500.9   615.3  1224.9 619766.9  51925.4    51929
read      294.8   144.3    74.4   131.4   148.5   276.3   336.9   371.2   397.1   429.0   468.1   527.0   641.3   864.6  3476.4  83747.6    83850
read      266.6    81.9    80.4   150.6   170.9   264.4   293.2   310.8   323.2   338.8   358.2   388.0   457.4   591.5  1891.5  18611.1    18614
read      281.5   107.4    80.4   142.3   159.6   280.6   319.9   341.9   357.3   373.5   396.2   431.7   505.0   664.2  2590.6  29395.2    29315
read      570.2   261.3    86.8   236.5   310.9   522.9   589.1   641.5   721.3   852.2   959.7  1057.9  1190.7  1421.3  7339.9 108306.2   108090
read      271.5    97.0    80.4   140.3   157.3   270.1   305.4   325.4   339.5   356.1   376.1   411.7   498.5   778.5  3176.0  26973.4    27024
read      278.1   122.3    74.4   130.0   144.9   271.7   325.7   352.3   370.9   393.1   422.0   464.9   548.8   693.6  2332.4  49962.8    49907
read      235.5   108.2    86.8   156.9   171.6   227.9   248.9   261.3   270.3   281.6   295.9   324.8   394.7  1148.2  4617.4   9217.9     9150
read      276.2   104.9    80.4   137.2   152.8   275.9   317.8   339.4   354.6   371.5   394.6   430.9   506.2   662.0  3189.0  34304.0    34328
read      281.2   113.5    74.4   131.5   146.8   273.9   328.9   356.7   375.6   398.6   429.5   471.5   560.7   706.4  1910.9  51899.9    51881
read      262.1   149.7    86.8   159.7   179.4   255.0   281.7   295.8   308.0   320.8   340.1   368.6   436.1  1153.1  7651.3  14581.0    14569
