config,target,runs,mean_qps,std_qps,min_qps,max_qps,mean_p95_ms,std_p95_ms,min_p95_ms,max_p95_ms,mean_avg_ms,mean_p99_ms,cpu_avg_percent,cpu_max_percent,any_cpu_warning
ibench-cpu,80000.0,3,23368.266666666666,1288.3583559450117,22184.4,24740.4,6.125,0.5979170427408809,5.5513,6.7445,3.0582999999999996,8.030299999999999,66.74333333333333,100.0,True
ibench-l1d,5000.0,3,4994.866666666667,11.545273203061448,4985.6,5007.8,0.6958333333333333,0.49665942388455014,0.3925,1.269,0.3475,1.189933333333333,66.47333333333334,100.0,True
ibench-l1d,10000.0,3,10042.733333333334,68.8779597065222,9963.6,10089.2,0.48146666666666665,0.008401388774085704,0.4723,0.4888,0.32716666666666666,0.6676666666666667,66.47333333333334,100.0,True
ibench-l1d,15000.0,3,15001.533333333333,19.110555547480754,14982.8,15021.0,0.5408666666666667,0.02745620755554807,0.5093,0.5592,0.34676666666666667,0.7291666666666666,66.47333333333334,100.0,True
ibench-l1d,20000.0,3,19971.600000000002,52.58174588200977,19932.6,20031.4,0.5986666666666666,0.026994320390284612,0.57,0.6236,0.3656,0.9205,66.47333333333334,100.0,True
ibench-l1d,25000.0,3,25008.399999999998,69.14680035981453,24936.8,25074.8,1.4064000000000003,1.3234685602612555,0.6157999999999999,2.9343000000000004,0.5194666666666666,2.4114999999999998,66.47333333333334,100.0,True
ibench-l1d,30000.0,3,30001.066666666666,88.51899984372386,29901.8,30071.8,0.7261333333333333,0.044299021810118334,0.6779,0.765,0.40486666666666665,1.0227666666666666,66.47333333333334,100.0,True
ibench-l1d,35000.0,3,34893.066666666666,188.43421486909978,34676.2,35016.8,2.0352,1.2271773954893397,0.8872000000000001,3.3286,1.0402,4.1052,66.47333333333334,100.0,True
ibench-l1d,40000.0,3,34862.73333333333,840.3539571712179,34057.4,35734.2,3.4559333333333337,0.08708400159233223,3.3654,3.5391,2.0302000000000002,7.868100000000001,66.47333333333334,100.0,True
ibench-l1d,45000.0,3,34977.799999999996,1090.6498429835299,34123.2,36206.2,3.460566666666667,0.13887225544842768,3.3162,3.5932,2.0353333333333334,7.872466666666667,66.47333333333334,100.0,True
ibench-l1d,50000.0,3,35722.4,1192.0255701955425,34716.0,37038.8,3.3857666666666666,0.09740463712438605,3.2792,3.4701999999999997,1.9883333333333333,7.862966666666668,66.47333333333334,100.0,True
ibench-l1d,55000.0,3,34581.43333333333,444.1955237655272,34126.2,35013.7,3.5132333333333334,0.0564490330593301,3.4693,3.5769,2.0591,7.8754333333333335,66.47333333333334,100.0,True
ibench-l1d,60000.0,3,34340.13333333333,1002.6018618241902,33269.8,35257.4,3.5528333333333335,0.14351589923535762,3.4081,3.6951,2.076233333333333,7.891566666666667,66.47333333333334,100.0,True
ibench-l1d,65000.0,3,35006.200000000004,839.7030189299064,34279.8,35925.6,3.4504333333333332,0.08025324500188954,3.3586,3.5071,2.036633333333333,7.873966666666667,66.47333333333334,100.0,True
ibench-l1d,70000.0,3,34695.86666666666,383.30970941698587,34461.2,35138.2,3.5162666666666667,0.08344227545634958,3.4344,3.6012,2.0551666666666666,7.880066666666667,66.47333333333334,100.0,True
ibench-l1d,75000.0,3,34516.566666666666,801.2761716994576,33894.7,35420.8,3.5194000000000005,0.10338573402554138,3.4073,3.611,2.0634666666666663,7.878799999999999,66.47333333333334,100.0,True
ibench-l1d,80000.0,3,35044.4,922.4958102885863,34508.6,36109.6,3.4897333333333336,0.08894972362707687,3.3895999999999997,3.5596,2.0324,7.866433333333333,66.47333333333334,100.0,True
ibench-l1i,5000.0,3,4998.533333333333,35.853219288277714,4959.4,5029.8,1.6540333333333332,0.24031488371162826,1.3805999999999998,1.8317,0.4945,3.0451,66.5,100.0,True
ibench-l1i,10000.0,3,10016.800000000001,15.928590647009514,10005.4,10035.0,1.7423333333333335,0.23127019551453948,1.4793,1.9138,0.5735,2.7129666666666665,66.5,100.0,True
ibench-l1i,15000.0,3,15019.566666666666,103.64083815433627,14900.1,15085.4,3.3615666666666666,2.764041016941198,1.602,6.5474,1.0085,4.783933333333334,66.5,100.0,True
ibench-l1i,20000.0,3,18599.533333333333,2302.0242599358794,15941.6,19957.8,4.069,3.758435529578763,1.7841,8.406799999999999,1.9936333333333334,5.942533333333334,66.5,100.0,True
ibench-l1i,25000.0,3,20284.133333333335,3211.3672498381966,16580.6,22296.4,7.2154,0.7183743592306175,6.7068,8.0372,3.5750333333333333,9.096966666666667,66.5,100.0,True
